[JS-ATTR][MATCH] href='/a'
[JS-ATTR][REWRITE] /a -> a.html
[JS-ATTR][SUMMARY] matches=1, rewrites=1, skips=0
[JS-LOC][SUMMARY] matches=0, rewrites=0, skips=0
[JS-OPEN][SUMMARY] matches=0, rewrites=0, skips=0
[JS-ATTR][SUMMARY] matches=0, rewrites=0, skips=0
[JS-LOC][SUMMARY] matches=0, rewrites=0, skips=0
[JS-OPEN][SUMMARY] matches=0, rewrites=0, skips=0
[JS-ATTR][SUMMARY] matches=0, rewrites=0, skips=0
[JS-LOC][SUMMARY] matches=0, rewrites=0, skips=0
[JS-OPEN][SUMMARY] matches=0, rewrites=0, skips=0
[JS-ATTR][SUMMARY] matches=0, rewrites=0, skips=0
[JS-LOC][SUMMARY] matches=0, rewrites=0, skips=0
[JS-OPEN][SUMMARY] matches=0, rewrites=0, skips=0
[JS-ATTR][SUMMARY] matches=0, rewrites=0, skips=0
[JS-LOC][SUMMARY] matches=0, rewrites=0, skips=0
[JS-OPEN][SUMMARY] matches=0, rewrites=0, skips=0
[JS-ATTR][SUMMARY] matches=0, rewrites=0, skips=0
[JS-LOC][SUMMARY] matches=0, rewrites=0, skips=0
[JS-OPEN][SUMMARY] matches=0, rewrites=0, skips=0
[JS-ATTR][SUMMARY] matches=0, rewrites=0, skips=0
[JS-LOC][SUMMARY] matches=0, rewrites=0, skips=0
[JS-OPEN][SUMMARY] matches=0, rewrites=0, skips=0
[JS-ATTR][SUMMARY] matches=0, rewrites=0, skips=0
[JS-LOC][SUMMARY] matches=0, rewrites=0, skips=0
[JS-OPEN][SUMMARY] matches=0, rewrites=0, skips=0
[JS-ATTR][SUMMARY] matches=0, rewrites=0, skips=0
[JS-LOC][SUMMARY] matches=0, rewrites=0, skips=0
[JS-OPEN][SUMMARY] matches=0, rewrites=0, skips=0
[JS-ATTR][SUMMARY] matches=0, rewrites=0, skips=0
[JS-LOC][SUMMARY] matches=0, rewrites=0, skips=0
[JS-OPEN][SUMMARY] matches=0, rewrites=0, skips=0
[JS-ATTR][SUMMARY] matches=0, rewrites=0, skips=0
[JS-LOC][SUMMARY] matches=0, rewrites=0, skips=0
[JS-OPEN][SUMMARY] matches=0, rewrites=0, skips=0
[JS-ATTR][SUMMARY] matches=0, rewrites=0, skips=0
[JS-LOC][SUMMARY] matches=0, rewrites=0, skips=0
[JS-OPEN][SUMMARY] matches=0, rewrites=0, skips=0
[JS-ATTR][SUMMARY] matches=0, rewrites=0, skips=0
[JS-LOC][SUMMARY] matches=0, rewrites=0, skips=0
[JS-OPEN][SUMMARY] matches=0, rewrites=0, skips=0
